school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,level_group,reading_category,student_count,english_assessed,percent_of_english_assessed
303186,7,711,71101,Control,BoSY,Grade 7,2-level,frustration,7,145,4.827586206896552
501429,7,714,71402,Control,BoSY,Grade 7,2-level,frustration,18,57,31.57894736842105
305844,11,1103,110303,Control,BoSY,Grade 7,2-level,frustration,3,57,5.2631578947368425
305965,11,1110,111001,Control,BoSY,Grade 7,2-level,frustration,0,114,0
501076,11,1103,110305,Control,BoSY,Grade 7,2-level,frustration,0,13,0
305889,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,0,61,0
501074,11,1103,110306,Control,BoSY,Grade 7,2-level,frustration,13,58,22.413793103448278
312408,7,705,70530,Control,BoSY,Grade 7,2-level,frustration,19,79,24.050632911392405
501351,7,705,70522,Control,BoSY,Grade 7,2-level,frustration,8,79,10.126582278481013
501404,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,2,18,11.11111111111111
305660,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,0,45,0
303219,7,701,70101,Control,BoSY,Grade 7,2-level,frustration,4,141,2.8368794326241136
312450,7,705,70522,Control,BoSY,Grade 7,2-level,frustration,25,124,20.161290322580644
324903,7,704,70401,Control,BoSY,Grade 7,2-level,frustration,16,44,36.36363636363637
501065,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,4,141,2.8368794326241136
312451,7,705,70532,Control,BoSY,Grade 7,2-level,frustration,5,88,5.681818181818182
501763,11,1103,110305,Control,BoSY,Grade 7,2-level,frustration,0,45,0
316405,11,1110,111001,Control,BoSY,Grade 7,2-level,frustration,14,166,8.433734939759036
316404,11,1110,111001,Control,BoSY,Grade 7,2-level,frustration,6,63,9.523809523809524
316301,11,1107,110701,Control,BoSY,Grade 7,2-level,frustration,0,198,0
312910,7,710,71001,Control,BoSY,Grade 7,2-level,frustration,33,194,17.010309278350515
303011,7,705,70512,Control,BoSY,Grade 7,2-level,frustration,6,59,10.169491525423728
305651,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,0,35,0
305662,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,15,52,28.846153846153847
305850,11,1105,110503,Control,BoSY,Grade 7,2-level,frustration,5,32,15.625
