school_id,time_point,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy
301507,EoSY,Grade 8,eosy,134,134,0,FALSE
301507,EoSY,Grade 9,eosy,111,111,0,FALSE
301508,BoSY,Grade 10,2-level,216,78,-138,TRUE
301508,BoSY,Grade 10,3-level,216,122,-94,TRUE
301508,BoSY,Grade 7,2-level,311,103,-208,TRUE
301508,BoSY,Grade 7,3-level,311,204,-107,TRUE
301508,BoSY,Grade 8,2-level,296,60,-236,TRUE
301508,BoSY,Grade 8,3-level,296,221,-75,TRUE
301508,BoSY,Grade 9,2-level,249,97,-152,TRUE
301508,BoSY,Grade 9,3-level,249,150,-99,TRUE
301508,EoSY,Grade 10,eosy,252,252,0,FALSE
301508,EoSY,Grade 7,eosy,324,324,0,FALSE
301508,EoSY,Grade 8,eosy,303,303,0,FALSE
301508,EoSY,Grade 9,eosy,254,254,0,FALSE
301816,BoSY,Grade 10,2-level,144,29,-115,TRUE
301816,BoSY,Grade 10,3-level,144,115,-29,TRUE
301816,BoSY,Grade 7,2-level,122,39,-83,TRUE
301816,BoSY,Grade 7,3-level,122,83,-39,TRUE
301816,BoSY,Grade 8,2-level,150,35,-115,TRUE
301816,BoSY,Grade 8,3-level,150,112,-38,TRUE
301816,BoSY,Grade 9,2-level,111,40,-71,TRUE
301816,BoSY,Grade 9,3-level,111,71,-40,TRUE
301816,EoSY,Grade 10,eosy,140,140,0,FALSE
301816,EoSY,Grade 7,eosy,119,119,0,FALSE
301816,EoSY,Grade 8,eosy,145,145,0,FALSE
301816,EoSY,Grade 9,eosy,92,92,0,FALSE
301817,BoSY,Grade 10,2-level,109,9,-100,TRUE
301817,BoSY,Grade 10,3-level,109,100,-9,TRUE
301817,BoSY,Grade 7,2-level,114,6,-108,TRUE
301817,BoSY,Grade 7,3-level,114,106,-8,TRUE
301817,BoSY,Grade 8,2-level,112,16,-96,TRUE
301817,BoSY,Grade 8,3-level,112,96,-16,TRUE
301817,BoSY,Grade 9,2-level,80,27,-53,TRUE
301817,BoSY,Grade 9,3-level,80,53,-27,TRUE
301817,EoSY,Grade 10,eosy,95,95,0,FALSE
301817,EoSY,Grade 7,eosy,100,100,0,FALSE
301817,EoSY,Grade 8,eosy,95,95,0,FALSE
301817,EoSY,Grade 9,eosy,78,78,0,FALSE
301826,BoSY,Grade 10,2-level,39,6,-33,TRUE
301826,BoSY,Grade 10,3-level,39,33,-6,TRUE
301826,BoSY,Grade 7,2-level,56,10,-46,TRUE
301826,BoSY,Grade 7,3-level,56,44,-12,TRUE
301826,BoSY,Grade 8,2-level,43,10,-33,TRUE
301826,BoSY,Grade 8,3-level,43,33,-10,TRUE
301826,BoSY,Grade 9,2-level,35,14,-21,TRUE
301826,BoSY,Grade 9,3-level,35,21,-14,TRUE
301826,EoSY,Grade 10,eosy,39,39,0,FALSE
301826,EoSY,Grade 7,eosy,56,56,0,FALSE
301826,EoSY,Grade 8,eosy,44,44,0,FALSE
301826,EoSY,Grade 9,eosy,34,34,0,FALSE
301834,BoSY,Grade 10,2-level,156,88,-68,TRUE
301834,BoSY,Grade 10,3-level,156,38,-118,TRUE
301834,BoSY,Grade 7,2-level,165,73,-92,TRUE
301834,BoSY,Grade 7,3-level,165,92,-73,TRUE
301834,BoSY,Grade 8,2-level,178,164,-14,TRUE
301834,BoSY,Grade 8,3-level,178,0,-178,TRUE
301834,BoSY,Grade 9,2-level,138,86,-52,TRUE
301834,BoSY,Grade 9,3-level,138,9,-129,TRUE
301834,EoSY,Grade 10,eosy,155,155,0,FALSE
301834,EoSY,Grade 7,eosy,162,162,0,FALSE
301834,EoSY,Grade 8,eosy,178,178,0,FALSE
301834,EoSY,Grade 9,eosy,134,134,0,FALSE
301839,BoSY,Grade 10,2-level,71,20,-51,TRUE
301839,BoSY,Grade 10,3-level,71,6,-65,TRUE
301839,BoSY,Grade 7,2-level,90,31,-59,TRUE
301839,BoSY,Grade 7,3-level,90,9,-81,TRUE
301839,BoSY,Grade 8,2-level,86,22,-64,TRUE
301839,BoSY,Grade 8,3-level,86,7,-79,TRUE
301839,BoSY,Grade 9,2-level,64,15,-49,TRUE
301839,BoSY,Grade 9,3-level,64,4,-60,TRUE
301839,EoSY,Grade 10,eosy,67,67,0,FALSE
301839,EoSY,Grade 7,eosy,86,86,0,FALSE
301839,EoSY,Grade 8,eosy,82,82,0,FALSE
301839,EoSY,Grade 9,eosy,59,59,0,FALSE
301862,BoSY,Grade 10,2-level,202,61,-141,TRUE
301862,BoSY,Grade 10,3-level,202,141,-61,TRUE
301862,BoSY,Grade 7,2-level,247,28,-219,TRUE
301862,BoSY,Grade 7,3-level,247,218,-29,TRUE
301862,BoSY,Grade 8,2-level,227,112,-115,TRUE
301862,BoSY,Grade 8,3-level,227,108,-119,TRUE
301862,BoSY,Grade 9,2-level,193,86,-107,TRUE
301862,BoSY,Grade 9,3-level,193,107,-86,TRUE
301862,EoSY,Grade 10,eosy,187,187,0,FALSE
301862,EoSY,Grade 7,eosy,231,231,0,FALSE
301862,EoSY,Grade 8,eosy,224,224,0,FALSE
301862,EoSY,Grade 9,eosy,150,150,0,FALSE
301868,BoSY,Grade 10,2-level,236,13,-223,TRUE
301868,BoSY,Grade 10,3-level,236,5,-231,TRUE
301868,BoSY,Grade 7,2-level,227,58,-169,TRUE
301868,BoSY,Grade 7,3-level,227,27,-200,TRUE
301868,BoSY,Grade 8,2-level,241,92,-149,TRUE
301868,BoSY,Grade 8,3-level,241,10,-231,TRUE
301868,BoSY,Grade 9,2-level,174,11,-163,TRUE
301868,BoSY,Grade 9,3-level,174,7,-167,TRUE
301868,EoSY,Grade 10,eosy,223,223,0,FALSE
301868,EoSY,Grade 7,eosy,236,236,0,FALSE
301868,EoSY,Grade 8,eosy,241,241,0,FALSE
301868,EoSY,Grade 9,eosy,173,173,0,FALSE
301870,BoSY,Grade 10,2-level,116,35,-81,TRUE
301870,BoSY,Grade 10,3-level,116,81,-35,TRUE
301870,BoSY,Grade 7,2-level,124,18,-106,TRUE
301870,BoSY,Grade 7,3-level,124,106,-18,TRUE
301870,BoSY,Grade 8,2-level,148,46,-102,TRUE
301870,BoSY,Grade 8,3-level,148,99,-49,TRUE
301870,BoSY,Grade 9,2-level,67,13,-54,TRUE
301870,BoSY,Grade 9,3-level,67,54,-13,TRUE
301870,EoSY,Grade 10,eosy,108,108,0,FALSE
301870,EoSY,Grade 7,eosy,122,122,0,FALSE
301870,EoSY,Grade 8,eosy,142,142,0,FALSE
301870,EoSY,Grade 9,eosy,66,66,0,FALSE
301871,BoSY,Grade 10,2-level,81,21,-60,TRUE
